"value","Variable"
0.00619574407724402,"age_at_index.demographic"
-0.00320996832050465,"initial_weight.samples"
-0.00628960874883925,"race_asian"
0.00306843870478466,"race_black or african american"
0.00321642520115386,"race_not reported"
0.00431755845223265,"race_white"
0.00136540066975746,"ethnicity_not hispanic or latino"
0.000252784006614153,"ethnicity_not reported"
-0.000527768002125688,"synchronous_malignancy_reported"
-0.00052781107371085,"prior_malignancy_encoded"
-0.00507100143905328,"prior_treatment_encoded"
-0.00523064456107095,"gender_is_male"
-0.00871352925544057,"sample_type_Primary Tumor"
-0.00199725395041871,"sample_type_Recurrent Tumor"
0.0102339645686463,"sample_type_Solid Tissue Normal"
0.000782934836486488,"T_grouped_T2"
0.00631265014554492,"T_grouped_T3"
0.00177877957040339,"T_grouped_T4"
0.00172580436314389,"N_grouped_N1"
0.00161763673390519,"N_grouped_NX"
0.00761351958198536,"N_grouped_Unknown"
0.0087074047441278,"M_grouped_M1"
0.00598791948808849,"M_grouped_Other"
0.00700667874388718,"Is_stage_34"
0.000998849170349285,"ajcc_pathologic_stage.diagnoses_Stage II"
0.00101608529692824,"ajcc_pathologic_stage.diagnoses_Stage III"
0.00719838395296697,"ajcc_pathologic_stage.diagnoses_Stage IIIA"
0.00040919154899991,"ajcc_pathologic_stage.diagnoses_Stage IIIB"
-0.00114053727568201,"ajcc_pathologic_stage.diagnoses_Stage IIIC"
-0.0020829909639771,"ajcc_pathologic_stage.diagnoses_Stage IVA"
0.00711969779774726,"ajcc_pathologic_stage.diagnoses_Stage IVB"
-0.00475300046547346,"primary_diagnosis.diagnoses_Combined hepatocellular carcinoma and cholangiocarcinoma"
0.00791107327908423,"primary_diagnosis.diagnoses_Hepatocellular carcinoma, NOS"
-0.00371602036522097,"primary_diagnosis.diagnoses_Hepatocellular carcinoma, clear cell type"
-0.00451462677541035,"primary_diagnosis.diagnoses_Hepatocellular carcinoma, fibrolamellar"
-0.00216835757289662,"ENSG00000000003"
0.00579986089469028,"ENSG00000000005"
0.00137749508116231,"ENSG00000000419"
-0.00089234296980191,"ENSG00000000457"
-0.000475912375314964,"ENSG00000000460"
0.00123045981174276,"ENSG00000000938"
-0.00264135420887626,"ENSG00000000971"
0.00267524093950461,"ENSG00000001036"
6.40942914468581e-06,"ENSG00000001084"
-0.00152538925313829,"ENSG00000001167"
-0.000640989434796958,"ENSG00000001460"
-0.00151278999191495,"ENSG00000001461"
-8.53888954096809e-05,"ENSG00000001497"
