"value","Variable"
0.189162217682271,"ENSG00000006432"
-0.392047894335202,"ENSG00000103494"
0.417507182367282,"ENSG00000130822"
0.36639834393536,"ENSG00000132612"
0.132173304103068,"ENSG00000139514"
0.185555264646338,"ENSG00000143278"
-0.188244867381131,"ENSG00000158874"
-0.0523042073024007,"ENSG00000160282"
-0.694418760195919,"ENSG00000160870"
-0.550046287369189,"ENSG00000164904"
-0.369707268950122,"ENSG00000165775"
0.038846588683776,"ENSG00000172497"
-0.260920168785551,"ENSG00000186193"
0.495138908774463,"ENSG00000214223"
0.241925167763484,"ENSG00000228952"
0.052636713564142,"ENSG00000240087"
0.459661858698761,"ENSG00000255883"
0.120320230220617,"ENSG00000261609"
-0.0379706795921634,"ENSG00000283342"
